stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
189,122,"HWY 80 & ALFRED WB",,32.092791,-81.149417,,,,,,2
190,1220,"BRYAN WOODS & MARSH HARBOUR NB",,32.030714,-80.994307,,,,,,2
191,1221,"BRYAN WOODS & STONEBRIDGE NB",,32.035190,-80.991473,,,,,,2
192,1222,"HWY 80 & MAPMAKER WB",,32.040489,-80.996585,,,,,,2
195,1226,"SKIDAWAY & VICTORY NB",,32.042022,-81.063650,,,,,,2
196,1227,"SKIDAWAY & 40th NB",,32.044526,-81.063693,,,,,,2
197,123,"3rd & MINUS WB",,32.101234,-81.150319,,,,,,2
198,1230,"SKIDAWAY & CHELSEA NB",,32.050395,-81.065575,,,,,,2
199,1232,"SKIDAWAY & DURANT NB",,32.053447,-81.067139,,,,,,2
200,1233,"HENRY & SKIDAWAY WB",,32.055538,-81.068682,,,,,,2
201,1234,"HENRY & MCCORMICK WB",,32.055879,-81.070023,,,,,,2
202,1235,"HENRY & BEE WB",,32.056660,-81.073311,,,,,,2
203,1236,"HENRY & ASH WB",,32.057297,-81.075567,,,,,,2
204,1237,"HENRY & CEDAR WB",,32.057808,-81.077514,,,,,,2
205,1238,"HENRY & LIVE OAK WB",,32.058347,-81.079482,,,,,,2
206,1239,"HENRY & HARMON WB",,32.059441,-81.083750,,,,,,2
207,1240,"HENRY & PAULSEN WB",,32.059854,-81.085261,,,,,,2
208,1241,"HENRY & ATLANTIC WB",,32.060554,-81.087676,,,,,,2
209,1242,"E BROAD & DUFFY NB",,32.062240,-81.090273,,,,,,2
210,1243,"E BROAD & PARK NB",,32.062842,-81.090039,,,,,,2
211,1244,"E BROAD & WALDBURG NB",,32.063641,-81.089688,,,,,,2
212,1246,"E BROAD & HUNTINDON NB",,32.067204,-81.088380,,,,,,2
213,1247,"E BROAD & GORDON NB",,32.069205,-81.087646,,,,,,2
214,1248,"E BROAD & JONES NB",,32.070587,-81.087136,,,,,,2
215,1249,"E BROAD & LIBERTY NB",,32.072562,-81.086402,,,,,,2
216,125,"MLK & TURNER SB",,32.077576,-81.098409,,,,,,2
217,1250,"OGLETHORPE & BULL WB",,32.077003,-81.092714,,,,,,2
220,1255,"WESTLAKE APARTMENTS",,32.036304,-81.142750,,,,,,2
221,1258,"MLK & 31st NB",,32.063009,-81.103671,,,,,,2
222,1259,"MLK & 31st SB",,32.063252,-81.103799,,,,,,2
223,126,"MLK & LIBERTY SB",,32.076230,-81.098951,,,,,,2
224,1260,"MLK & 33rd SB",,32.061672,-81.104384,,,,,,2
228,1267,"MONTGOMERY CROSS & WATERS WB",,31.994072,-81.105218,,,,,,2
229,1268,"WATERS & HIGHLAND SB",,32.005014,-81.101575,,,,,,2
230,1269,"WATERS & CHRISTOPHER SB",,32.002343,-81.102529,,,,,,2
231,127,"LOUISVILLE & ROTHWELL WB",,32.078471,-81.108850,,,,,,2
232,1270,"WATERS & MALL TERRACE SB",,32.001001,-81.103041,,,,,,2
241,128,"LOUISVILLE & ROTHWELL EB",,32.078399,-81.108669,,,,,,2
252,129,"LOUISVILLE & STILES WB",,32.078964,-81.110500,,,,,,2
261,130,"AUGUSTA & NEWELL WB",,32.080506,-81.114407,,,,,,2
268,1306,"MONTGOMERY CROSS & LAKE MAYER WB",,31.990270,-81.087067,,,,,,2
269,1307,"MONTGOMERY CROSS & SALLIE MOOD WB",,31.990422,-81.090416,,,,,,2
270,1308,"MONTGOMERY CROSS & KENT WB",,31.990721,-81.091901,,,,,,2
271,1309,"MONTGOMERY CROSS & ROYAL OAK WB",,31.991749,-81.096105,,,,,,2
272,131,"AUGUSTA & FERRILL WB",,32.080927,-81.115823,,,,,,2
273,1313,"WATERS & SHERWOOD NB",,31.996980,-81.104432,,,,,,2
274,1314,"WATERS & CORINTH NB",,31.998838,-81.103720,,,,,,2
275,1315,"WATERS & 7805 NB",,32.000912,-81.102945,,,,,,2
276,1316,"WATERS & CHRISTOPHER NB",,32.002294,-81.102467,,,,,,2
277,1318,"MLK & 35th SB",,32.060308,-81.104841,,,,,,2
278,1319,"MLK & 37th SB",,32.058162,-81.105670,,,,,,2
279,132,"AUGUSTA & EAGLE WB",,32.081971,-81.117292,,,,,,2
280,1320,"MLK & 39th SB",,32.056924,-81.106052,,,,,,2
281,1323,"MLK & 45th SB",,32.052472,-81.107700,,,,,,2
282,1325,"MLK & AMARANTH SB",,32.049196,-81.108879,,,,,,2
283,1326,"52nd & FLORANCE WB",,32.048046,-81.113050,,,,,,2
284,1327,"52nd & STEVENS WB",,32.048727,-81.115582,,,,,,2
285,1328,"52nd & HOPKINS WB",,32.049076,-81.117061,,,,,,2
286,1329,"52nd & ROSS WB",,32.050115,-81.122350,,,,,,2
287,133,"AUGUSTA & DELYON WB",,32.083106,-81.118847,,,,,,2
288,1330,"52nd & ROCKDALE WB",,32.051619,-81.130033,,,,,,2
289,1331,"52nd & WORTH WB",,32.051968,-81.131821,,,,,,2
290,1335,"OGEECHEE & CHATHAM PKWY NB",,32.048508,-81.164759,,,,,,2
291,134,"AUGUSTA & MCINTYRE WB",,32.084488,-81.120828,,,,,,2
292,1342,"LOUIS MILL & BEVERLY EB",,32.034731,-81.154137,,,,,,2
